"NumSorted", "InsertComp", "SelectComp", "HeapComp", "MergeComp", "QuickComp"
        500,       999999,       899999,     799999,      699999,     599999
       1000,      9444444,      8444444,    7444444,     6444444,    5444444
       1500,      9888888,      8888888,    7888888,     6888888,    5888888
       2000,     91111111,     81111111,   71111111,    61111111,   51111111
       2500,     92222222,     82222222,   72222222,    62222222,   52222222
       3000,     93333333,     83333333,   73333333,    63333333,   53333333
       3500,     94444444,     84444444,   74444444,    64444444,   54444444
       4000,     95555555,     85555555,   75555555,    65555555,   55555555
       4500,     96666666,     86666666,   76666666,    66666666,   56666666
       5000,     97777777,     87777777,   77777777,    67777777,   57777777
       5500,     98888888,     88888888,   78888888,    68888888,   58888888
       6000,     99999999,     89999999,   79999999,    69999999,   59999999
